Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
File,"SimpleSocketServer.java",144,1,16,48,16,27,1,5,2
File,"SpelCompilationCoverageTests.java",4616,43,208,693,209,276,3,7,3
File,"SpelView.java",50,2,4,32,4,6,1,2,0
File,"SpelViewTests.java",34,1,3,19,3,3,1,1,0
File,"StandardContext.java",3769,4,366,1205,461,868,9,63,6
File,"StandardContext.java",3314,6,302,1011,392,752,9,69,5
File,"StandardProcessGroup.java",3593,6,291,889,399,849,9,52,6
File,"StandardWrapper.java",970,1,86,293,97,204,4,24,5
File,"StrutsConstants.java",82,1,0,81,0,0,0,0,0
File,"StrutsConstants.java",83,1,0,82,0,0,0,0,0
File,"TestMapperWebapps.java",165,2,6,58,6,11,1,4,1
File,"TestRewriteValve.java",51,1,7,28,7,7,1,1,0
File,"TestStandardWrapper.java",155,8,12,81,12,16,1,5,1
File,"TesterContext.java",869,1,234,524,234,234,1,1,0
File,"TokenValidation.java",415,2,41,114,65,108,6,10,3
File,"TokenValidationTest.java",331,1,36,159,36,38,1,3,1
File,"TomcatBaseTest.java",679,9,54,211,54,128,1,17,4
File,"TransformerFactoryImpl.java",580,1,23,121,54,116,8,21,5
File,"TransformerImpl.java",1745,1,137,462,163,337,6,26,5
File,"URLValidator.java",86,1,6,26,6,16,1,6,2
File,"UaaAuthentication.java",86,1,11,43,15,18,5,6,1
File,"UaaAuthorizationRequestManager.java",295,2,24,122,24,64,1,9,3
File,"UaaResetPasswordService.java",151,1,8,70,8,26,1,12,4
File,"UaaResetPasswordServiceTests.java",211,1,15,107,15,18,1,2,1
File,"UaaTokenServices.java",1009,2,44,424,46,191,3,21,4
File,"UaaTokenServices.java",849,3,42,356,46,176,3,18,4
File,"UaaTokenServicesTests.java",1712,1,96,679,96,106,1,3,2
File,"UpstreamComitterRecipientProvider.java",88,3,6,49,8,13,3,6,3
File,"VulnerabilityTest.java",59,1,14,40,14,14,1,1,0
File,"WhileClosure.java",43,1,6,16,6,10,1,3,1
File,"WhitelabelApprovalEndpoint.java",57,1,3,29,3,12,1,5,1
File,"WhitelabelApprovalEndpointTests.java",73,1,4,35,4,4,1,1,0
File,"WhitelabelErrorEndpoint.java",27,1,1,17,1,2,1,2,1
File,"Wrapper.java",47,1,37,46,0,0,0,0,0
File,"XMSSMTPrivateKeyParameters.java",271,2,19,73,19,38,1,19,3
File,"XMSSMTPrivateKeyTest.java",23,1,1,16,1,1,1,1,0
File,"XMSSPrivateKeyParameters.java",281,2,19,71,19,40,1,20,3
File,"XMSSUtil.java",260,1,20,44,29,60,4,6,2
File,"XSLTElementProcessor.java",164,1,15,68,15,36,1,18,3
File,"XWorkConfigurationProvider.java",141,1,5,84,5,5,1,1,0
File,"XWorkConstants.java",14,1,0,13,0,0,0,0,0
File,"XmlFactory.java",486,1,53,143,88,114,25,27,5
File,"XmlRepresentation.java",387,1,50,124,51,92,3,15,2
File,"ZipUtils.java",173,3,20,62,19,34,1,5,4
File,"ZipUtilsTest.java",75,1,9,47,9,9,1,1,0
