@relation software_metrics_vpm

@attribute Kind string
@attribute Name string
@attribute CountLineCode numeric
@attribute CountDeclClass numeric
@attribute CountDeclFunction numeric
@attribute CountLineCodeDecl numeric
@attribute SumEssential numeric
@attribute SumCyclomaticStrict numeric
@attribute MaxEssential numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxNesting numeric
@attribute class {pos,neg}

@data
File,"ActionChainResult.java",129,1,16,49,23,40,6,10,2,pos
File,"ActionConfig.java",243,2,38,63,47,73,10,17,1,pos
File,"ActionServlet.java",581,1,27,176,39,107,5,10,3,pos
File,"ActionServlet.java",585,1,27,177,39,107,5,10,3,pos
File,"ActionTagTest.java",212,2,14,67,14,18,1,2,1,pos
File,"Activator.java",33,1,2,18,2,3,1,2,1,pos
File,"ActiveDirectoryLdapAuthenticationProviderTests.java",241,5,30,102,30,33,1,2,1,pos
File,"ActiveMQConnection.java",1302,7,193,410,197,333,3,18,5,pos
File,"ActiveMQConnection.java",1403,8,201,443,205,353,3,16,6,pos
File,"ActiveMQConnectionMetaData.java",99,1,10,41,10,11,1,2,1,pos
File,"AddOperation.java",27,1,6,13,6,8,1,3,1,pos
File,"AdminWhitelistRule.java",152,1,13,63,19,28,3,4,3,pos
File,"AegisJaxwsGetTest.java",82,1,4,48,4,4,1,1,0,pos
File,"AesCbcHmacJweDecryption.java",67,2,10,29,10,15,1,4,1,pos
File,"AffectedComponentDTO.java",74,1,14,45,14,14,1,1,0,pos
File,"AffectedComponentUtils.java",50,1,3,27,9,9,7,7,2,pos
File,"AgentServlet.java",374,8,46,122,45,85,1,6,3,pos
File,"AgentServlet.java",319,7,41,107,42,70,3,5,2,pos
File,"AgentServlet.java",366,8,46,122,45,84,1,5,3,pos
File,"AgentServlet.java",389,8,47,124,48,91,3,6,3,pos
File,"AgentServletTest.java",556,13,57,138,66,73,4,4,3,pos
File,"AgentServletTest.java",454,10,46,117,52,59,3,4,3,pos
File,"AjaxPayload.java",19,1,3,8,3,3,1,1,0,pos
File,"AjpAprProcessor.java",757,3,22,173,60,155,12,37,5,pos
File,"AjpAprProcessor.java",445,2,17,91,43,87,10,25,4,pos
File,"AjpAprProcessor.java",261,1,10,53,33,59,10,23,4,pos
File,"AjpAprProtocol.java",212,3,22,70,25,48,4,8,3,pos
File,"AjpNioProcessor.java",277,1,9,62,31,61,10,26,4,pos
