Name, java:S2039, java:S2384, java:S2658, java:S2755, java:S1148, java:S1444, java:S899, java:S5542, java:S2386, java:S2976, java:S2612, java:S5527, java:S4830, java:S3329, java:S4423, java:S4433, java:S4426, java:S2115, java:S2647, class
1ce69fd785a56099adc9f1ea28fa59eb9f0340fc/ClientImpl.java, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
e4c456743a046f37ce9623529635218be7f13e7b/JavaDocProvider.java, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
e4c456743a046f37ce9623529635218be7f13e7b/Swagger2Feature.java, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
e4c456743a046f37ce9623529635218be7f13e7b/WadlGenerator.java, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
185d7df330367537b7428c82369b6dd3e3ea59f6/JAXBElementProvider.java, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/AppleServer.java, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/CallbackClientServerTest.java, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/SOAPDocLitServerImpl.java, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/SOAPRpcLitServerImpl.java, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/Server.java, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/ServerImpl.java, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/SoapActionTest.java, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/ValidationServer.java, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/XMLClientTypeTest.java, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8ee94e10892928e61ad87226df07bf9a3573e882/XMLServerImpl.java, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
9e1115bbb9f3f1776e0604d4f105a3824af8c86c/TestUtil.java, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
7b8cf2deb14bd9227d68f48c22f0a7cb3109a07c/AlgorithmSuiteTest.java, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8c85660cd1d6f479722bbc0c5dab0ebce9a9c554/ClassResourceInfo.java, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
c9184fe7120540f8472ac697957cdee710bcb70f/ActiveDirectoryRealmTest.java, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
c9184fe7120540f8472ac697957cdee710bcb70f/AuthorizingRealmTest.java, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
5c718543695fdc3006236652e878e25ab9946de5/GridDhtPartitionSupplier.java, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
5c718543695fdc3006236652e878e25ab9946de5/IgniteCacheClientQueryReplicatedNodeRestartSelfTest.java, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
9df4f30d2c00766c069260744a019dcc14fd2ea7/CommandlineTest.java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, neg
cf92602632a6656ded0eec7538c2ae1456d75e43/GroovyCategorySupport.java, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8dde1b3cf83e1e88979f326a9147a36549e298fd/AuftragDao.java, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
9c2040434831c8b056ec394e5a838e4c4fdc2fd9/WebXml.java, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
02480f614a890e1ab58b010fbc21486e9ef613b3/WsRemoteEndpointImplBase.java, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a9baf82e6224968df1653a534bd13e9c14fb6fe1/StandardContext.java, 0, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a9baf82e6224968df1653a534bd13e9c14fb6fe1/StandardHost.java, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a9baf82e6224968df1653a534bd13e9c14fb6fe1/StandardWrapper.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
