severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
BLOCKER	2020-07-02T22:38:45+0200		368.0		java:S2755	Prova_Mining	15min	Disable access to external entities in XML parsing.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/502/6fc896b65ed871be33dcf453cde924bf73cf83db/Util.java		default-organization	{startLine=368.0, endLine=368.0, startOffset=73.0, endOffset=84.0}	15min	AXMRUeFUN9GdxjDXOWaj	a9b758d0b412446416807e72f3d4161a	OPEN
MINOR	2020-07-02T22:38:45+0200		360.0		java:S2384	Prova_Mining	5min	"Return a copy of ""books""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/503/9deb2d17/AtomPojoProviderTest.java		default-organization	{startLine=360.0, endLine=360.0, startOffset=19.0, endOffset=24.0}	5min	AXMRUeCfN9GdxjDXOWae	78f3d4109c977d6bb5398bba318c458a	OPEN
MINOR	2020-07-02T22:38:45+0200		364.0		java:S2384	Prova_Mining	5min	"Store a copy of ""list""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/503/9deb2d17/AtomPojoProviderTest.java		default-organization	{startLine=364.0, endLine=364.0, startOffset=20.0, endOffset=24.0}	5min	AXMRUeCfN9GdxjDXOWaf	18c9214facc105601eb8b9c41ca439dd	OPEN
MINOR	2020-07-02T22:38:45+0200		100.0		java:S2384	Prova_Mining	5min	"Return a copy of ""validationErrors""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/AffectedComponentDTO.java		default-organization	{startLine=100.0, endLine=100.0, startOffset=15.0, endOffset=31.0}	5min	AXMRUdshN9GdxjDXOWaA	9d35ee1e697f21363f9674617a854b5b	OPEN
MINOR	2020-07-02T22:38:45+0200		104.0		java:S2384	Prova_Mining	5min	"Store a copy of ""validationErrors""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/AffectedComponentDTO.java		default-organization	{startLine=104.0, endLine=104.0, startOffset=32.0, endOffset=48.0}	5min	AXMRUdshN9GdxjDXOWaB	f985a9762ed5e26780d4b3b5c28779ca	OPEN
CRITICAL	2020-07-02T22:38:45+0200		1214.0		java:S2658	Prova_Mining	45min	Remove this use of dynamic class loading.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/FlowController.java		default-organization	{startLine=1214.0, endLine=1214.0, startOffset=44.0, endOffset=51.0}	45min	AXMRUduYN9GdxjDXOWaC	0231fb1fb0c5e409afdd40d183941167	OPEN
CRITICAL	2020-07-02T22:38:45+0200		2466.0		java:S2658	Prova_Mining	45min	Remove this use of dynamic class loading.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/FlowController.java		default-organization	{startLine=2466.0, endLine=2466.0, startOffset=44.0, endOffset=51.0}	45min	AXMRUduYN9GdxjDXOWaD	c0800d7723cfef18a44c56d49bdf7004	OPEN
CRITICAL	2020-07-02T22:38:45+0200		3382.0		java:S2658	Prova_Mining	45min	Remove this use of dynamic class loading.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/FlowController.java		default-organization	{startLine=3382.0, endLine=3382.0, startOffset=44.0, endOffset=51.0}	45min	AXMRUduYN9GdxjDXOWaE	a64689e7b6c2621b841283c212576f5b	OPEN
CRITICAL	2020-07-02T22:38:45+0200		123.0		java:S2658	Prova_Mining	45min	Remove this use of dynamic class loading.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/StandardControllerServiceProvider.java		default-organization	{startLine=123.0, endLine=123.0, startOffset=33.0, endOffset=40.0}	45min	AXMRUdx2N9GdxjDXOWaJ	1a1b2b26e3ffef146e10c3a4512bd701	OPEN
MINOR	2020-07-02T22:38:45+0200		246.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""SERVICE_DESC""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/TestStandardProcessScheduler.java		default-organization	{startLine=246.0, endLine=246.0, startOffset=40.0, endOffset=52.0}	5min	AXMRUdwEN9GdxjDXOWaI	b5072e602f3fd54f703edf5e9f469f21	OPEN
MINOR	2020-07-02T22:38:45+0200		289.0		java:S1148	Prova_Mining	10min	Use a logger to log this exception.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/TestStandardProcessScheduler.java		default-organization	{startLine=289.0, endLine=289.0, startOffset=26.0, endOffset=41.0}	10min	AXMRUdwEN9GdxjDXOWaF	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-02T22:38:45+0200		327.0		java:S1148	Prova_Mining	10min	Use a logger to log this exception.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/TestStandardProcessScheduler.java		default-organization	{startLine=327.0, endLine=327.0, startOffset=26.0, endOffset=41.0}	10min	AXMRUdwEN9GdxjDXOWaG	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-02T22:38:45+0200		367.0		java:S1148	Prova_Mining	10min	Use a logger to log this exception.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/505/b6117743d4c1c1a37a16ba746b9edbbdd276d69f/TestStandardProcessScheduler.java		default-organization	{startLine=367.0, endLine=367.0, startOffset=26.0, endOffset=41.0}	10min	AXMRUdwEN9GdxjDXOWaH	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-02T22:38:45+0200		117.0		java:S1148	Prova_Mining	10min	Use a logger to log this exception.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/ExportLogsFunction.java		default-organization	{startLine=117.0, endLine=117.0, startOffset=8.0, endOffset=23.0}	10min	AXMRUcG8N9GdxjDXOWWO	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-02T22:38:45+0200		40.0		java:S1444	Prova_Mining	20min	"Make this ""public static INSTANCE"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/FetchRegionAttributesFunction.java		default-organization	{startLine=40.0, endLine=40.0, startOffset=46.0, endOffset=54.0}	20min	AXMRUcDAN9GdxjDXOWWM	63222eb191f6aac2a5dbbb29c3abe2e2	OPEN
MINOR	2020-07-02T22:38:45+0200		48.0		java:S1444	Prova_Mining	20min	"Make this ""public static INSTANCE"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/GatewayReceiverCreateFunction.java		default-organization	{startLine=48.0, endLine=48.0, startOffset=46.0, endOffset=54.0}	20min	AXMRUb_cN9GdxjDXOWWK	8020ed88a5f3acbb38029445690e52fe	OPEN
MINOR	2020-07-02T22:38:45+0200		43.0		java:S1444	Prova_Mining	20min	"Make this ""public static INSTANCE"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/GatewaySenderCreateFunction.java		default-organization	{startLine=43.0, endLine=43.0, startOffset=44.0, endOffset=52.0}	20min	AXMRUcBXN9GdxjDXOWWL	fddc4c4a3360932adab6edfb5e6d7080	OPEN
MINOR	2020-07-02T22:38:45+0200		30.0		java:S1444	Prova_Mining	20min	"Make this ""public static INSTANCE"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/GatewaySenderDestroyFunction.java		default-organization	{startLine=30.0, endLine=30.0, startOffset=45.0, endOffset=53.0}	20min	AXMRUb7pN9GdxjDXOWWF	a5debc6f50e4290b7b89176d7baa080b	OPEN
MINOR	2020-07-02T22:38:45+0200		55.0		java:S1444	Prova_Mining	20min	"Make this ""public static server"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/JDBCConnectorFunctionsSecurityTest.java		default-organization	{startLine=55.0, endLine=55.0, startOffset=34.0, endOffset=40.0}	20min	AXMRUb3yN9GdxjDXOWWD	f7e0196393ca285b57abe8fd42a489a4	OPEN
MINOR	2020-07-02T22:38:45+0200		51.0		java:S1444	Prova_Mining	20min	"Make this ""public static server"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/LuceneFunctionSecurityTest.java		default-organization	{startLine=51.0, endLine=51.0, startOffset=34.0, endOffset=40.0}	20min	AXMRUb6HN9GdxjDXOWWE	580ef02e2f1359c7466701e05a12f66a	OPEN
MINOR	2020-07-02T22:38:45+0200		33.0		java:S1444	Prova_Mining	20min	"Make this ""public static ALL"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/ResourcePermission.java		default-organization	{startLine=33.0, endLine=33.0, startOffset=23.0, endOffset=26.0}	20min	AXMRUb9oN9GdxjDXOWWG	6f143a60c01c3f11b1e76641b34050b9	OPEN
MINOR	2020-07-02T22:38:45+0200		34.0		java:S1444	Prova_Mining	20min	"Make this ""public static NULL"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/ResourcePermission.java		default-organization	{startLine=34.0, endLine=34.0, startOffset=23.0, endOffset=27.0}	20min	AXMRUb9oN9GdxjDXOWWH	4f57d47967d97f6249ef2f7f7c3d9fe0	OPEN
MINOR	2020-07-02T22:38:45+0200		39.0		java:S1444	Prova_Mining	20min	"Make this ""public static ALL_REGIONS"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/ResourcePermission.java		default-organization	{startLine=39.0, endLine=39.0, startOffset=23.0, endOffset=34.0}	20min	AXMRUb9oN9GdxjDXOWWI	ab5a43c40485dffe8cbed38e0f4aad25	OPEN
MINOR	2020-07-02T22:38:45+0200		43.0		java:S1444	Prova_Mining	20min	"Make this ""public static ALL_KEYS"" field final"	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/ResourcePermission.java		default-organization	{startLine=43.0, endLine=43.0, startOffset=23.0, endOffset=31.0}	20min	AXMRUb9oN9GdxjDXOWWJ	c714342afeb2df1ee81933b531b7cde9	OPEN
MINOR	2020-07-02T22:38:45+0200		61.0		java:S1148	Prova_Mining	10min	Use a logger to log this exception.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/506/6df14c8b1e3c644f9f810149e80bba0c2f073dab/SizeExportLogsFunction.java		default-organization	{startLine=61.0, endLine=61.0, startOffset=8.0, endOffset=23.0}	10min	AXMRUcEyN9GdxjDXOWWN	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-02T22:38:45+0200		80.0		java:S2384	Prova_Mining	5min	"Store a copy of ""staticPaths""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/510/806bc7847a687203a904d24feb1a0278de889e62/StaticFileHandler.java		default-organization	{startLine=80.0, endLine=80.0, startOffset=27.0, endOffset=38.0}	5min	AXMRUdBZN9GdxjDXOWYe	5e88b949ecbd4a10750e550216a0c3ea	OPEN
MINOR	2020-07-02T22:38:45+0200		72.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""NULL""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=72.0, endLine=72.0, startOffset=21.0, endOffset=25.0}	5min	AXMRUdNPN9GdxjDXOWYr	bfcf2c88e1268cc407e539fa92d025b9	OPEN
MINOR	2020-07-02T22:38:45+0200		73.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""CERTIFICATE""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=73.0, endLine=73.0, startOffset=21.0, endOffset=32.0}	5min	AXMRUdNPN9GdxjDXOWYs	ee8eddc24cff8093610f0bc9ab50d604	OPEN
MINOR	2020-07-02T22:38:45+0200		74.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""KEY""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=74.0, endLine=74.0, startOffset=21.0, endOffset=24.0}	5min	AXMRUdNPN9GdxjDXOWYt	5f6097e13dad7a7f065e4d1ad4a1a369	OPEN
