severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MINOR	2020-07-03T17:57:05+0200		76.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""absoluteUsedCapacity""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=76.0, endLine=76.0, startOffset=10.0, endOffset=30.0}	5min	AXMVa5vAkLspzIj1dBJm	5a9eeda8c48ea0466306555d96089312	OPEN
MINOR	2020-07-03T17:57:05+0200		77.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""numApplications""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=77.0, endLine=77.0, startOffset=8.0, endOffset=23.0}	5min	AXMVa5vAkLspzIj1dBJn	86125bee3cf0b06160beb850bb9a8fd2	OPEN
MINOR	2020-07-03T17:57:05+0200		78.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""queueName""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=78.0, endLine=78.0, startOffset=11.0, endOffset=20.0}	5min	AXMVa5vAkLspzIj1dBJo	32e17d67d6fd3bd79a884918df37b827	OPEN
MINOR	2020-07-03T17:57:05+0200		79.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""state""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=79.0, endLine=79.0, startOffset=11.0, endOffset=16.0}	5min	AXMVa5vAkLspzIj1dBJp	f2d6f101c8039513205723ac944011e6	OPEN
MINOR	2020-07-03T17:57:05+0200		83.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""numActiveApplications""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=83.0, endLine=83.0, startOffset=8.0, endOffset=29.0}	5min	AXMVa5vAkLspzIj1dBJq	a8fc8dda86dbe5e724252cb9a026c138	OPEN
MINOR	2020-07-03T17:57:05+0200		84.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""numPendingApplications""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=84.0, endLine=84.0, startOffset=8.0, endOffset=30.0}	5min	AXMVa5vAkLspzIj1dBJr	20ac9a1c97cecf42050c6bb30ecede5a	OPEN
MINOR	2020-07-03T17:57:05+0200		85.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""numContainers""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=85.0, endLine=85.0, startOffset=8.0, endOffset=21.0}	5min	AXMVa5vAkLspzIj1dBJs	f11261293a6973d38a2be49badf4f4f6	OPEN
MINOR	2020-07-03T17:57:05+0200		86.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""maxApplications""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=86.0, endLine=86.0, startOffset=8.0, endOffset=23.0}	5min	AXMVa5vAkLspzIj1dBJt	aaa41aea6a50e0d809e94be42e395ccc	OPEN
MINOR	2020-07-03T17:57:05+0200		87.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""maxApplicationsPerUser""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=87.0, endLine=87.0, startOffset=8.0, endOffset=30.0}	5min	AXMVa5vAkLspzIj1dBJu	bbdb16fc439202a27396081b253fe18c	OPEN
MINOR	2020-07-03T17:57:05+0200		88.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""maxActiveApplications""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=88.0, endLine=88.0, startOffset=8.0, endOffset=29.0}	5min	AXMVa5vAkLspzIj1dBJv	a47d6a43a1baa3c8ea034a0f8e496aac	OPEN
